uptake,kappa,r0,N_isolates,f_required,rate_required_per100k,pct_of_males_required,multiples_of_densest_US,achievable
0.2,5.0,0.05,10000,0.4111935989170121,82238.71978340243,82.23871978340243,30.52662204283683,False
0.2,5.0,0.05,100000,0.13003083318595038,26006.166637190076,26.006166637190077,9.65336549264665,False
0.2,5.0,0.1,1000,0.8949335706346624,178986.71412693246,178.98671412693247,66.43901786448866,False
0.2,5.0,0.1,10000,0.28300284377527124,56600.56875505425,56.60056875505425,21.009862195640032,False
0.2,5.0,0.1,100000,0.08949335706346623,17898.671412693246,17.898671412693247,6.6439017864488665,False
0.2,5.0,0.13,1000,0.7717159830220899,154343.196604418,154.34319660441798,57.291461248855974,False
0.2,5.0,0.13,10000,0.2440380213105635,48807.604262112705,48.807604262112704,18.117150802565963,False
0.2,5.0,0.13,100000,0.077171598302209,15434.3196604418,15.434319660441801,5.729146124885598,False
0.35,1.0,0.05,1000,1.300308331859504,743033.3324911451,743.0333324911451,275.8104426470472,False
0.35,1.0,0.05,10000,0.4111935989170121,234967.77080972123,234.96777080972123,87.21892012239095,False
0.35,1.0,0.05,100000,0.13003083318595038,74303.33324911451,74.30333324911452,27.58104426470472,False
0.35,1.0,0.1,1000,0.8949335706346624,511390.6117912356,511.39061179123564,189.82576532711047,False
0.35,1.0,0.1,10000,0.28300284377527124,161715.91072872645,161.71591072872644,60.028177701828675,False
0.35,1.0,0.1,100000,0.08949335706346623,51139.061179123564,51.139061179123566,18.982576532711047,False
0.35,1.0,0.13,1000,0.7717159830220899,440980.56172690855,440.98056172690855,163.68988928244565,False
0.35,1.0,0.13,10000,0.2440380213105635,139450.29789175058,139.45029789175058,51.76328800733132,False
0.35,1.0,0.13,100000,0.077171598302209,44098.05617269086,44.09805617269086,16.368988928244566,False
0.35,3.0,0.05,1000,1.300308331859504,247677.7774970484,247.6777774970484,91.9368142156824,False
0.35,3.0,0.05,10000,0.4111935989170121,78322.59026990709,78.32259026990708,29.07297337413032,False
0.35,3.0,0.05,100000,0.13003083318595038,24767.777749704837,24.767777749704837,9.19368142156824,False
0.35,3.0,0.1,1000,0.8949335706346624,170463.53726374524,170.46353726374525,63.275255109036834,False
0.35,3.0,0.1,10000,0.28300284377527124,53905.30357624215,53.90530357624215,20.009392567276226,False
0.35,3.0,0.1,100000,0.08949335706346623,17046.353726374524,17.046353726374523,6.327525510903683,False
0.35,3.0,0.13,1000,0.7717159830220899,146993.5205756362,146.9935205756362,54.56329642748189,False
0.35,3.0,0.13,10000,0.2440380213105635,46483.432630583535,46.483432630583536,17.25442933577711,False
0.35,3.0,0.13,100000,0.077171598302209,14699.352057563623,14.699352057563623,5.45632964274819,False
0.35,5.0,0.05,1000,1.300308331859504,148606.66649822902,148.60666649822903,55.16208852940944,False
0.35,5.0,0.05,10000,0.4111935989170121,46993.554161944245,46.993554161944246,17.44378402447819,False
0.35,5.0,0.05,100000,0.13003083318595038,14860.6666498229,14.860666649822901,5.516208852940943,False
0.35,5.0,0.1,1000,0.8949335706346624,102278.12235824713,102.27812235824713,37.96515306542209,False
0.35,5.0,0.1,10000,0.28300284377527124,32343.182145745286,32.34318214574529,12.005635540365734,False
0.35,5.0,0.1,100000,0.08949335706346623,10227.812235824711,10.227812235824711,3.796515306542209,False
0.35,5.0,0.13,1000,0.7717159830220899,88196.11234538171,88.1961123453817,32.73797785648913,False
